<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CA,D,18/07/22,020000,7302.836875
CA,D,19/07/22,020000,7277.48363
CA,D,20/07/22,020000,7302.836875
CA,D,21/07/22,020000,7295.12067
CA,D,22/07/22,020000,7325.98549
CA,D,24/07/22,020000,7335.906325
CA,D,25/07/22,020000,7399.840595
CA,D,26/07/22,020000,7497.94663
CA,D,27/07/22,020000,7659.986935
CA,D,28/07/22,020000,7700.77259
CA,D,29/07/22,020000,7924.542535
CA,D,31/07/22,020000,7838.561965
CA,D,01/08/22,020000,7795.57168
CA,D,02/08/22,020000,7655.577675
CA,D,03/08/22,020000,7656.67999
CA,D,04/08/22,020000,7672.1124
CA,D,05/08/22,020000,7825.334185
CA,D,07/08/22,020000,7804.3902
CA,D,08/08/22,020000,7904.700865
CA,D,09/08/22,020000,7904.700865
CA,D,10/08/22,020000,8024.8532
CA,D,11/08/22,020000,8143.90322
CA,D,12/08/22,020000,8110.83377
CA,D,14/08/22,020000,8077.76432
CA,D,15/08/22,020000,7935.565685
CA,D,16/08/22,020000,7988.476805
CA,D,17/08/22,020000,7905.80318
CA,D,18/08/22,020000,8025.955515
CA,D,19/08/22,020000,8098.708305
CA,D,21/08/22,020000,8066.74117
CA,D,22/08/22,020000,8061.229595
CA,D,23/08/22,020000,8118.549975
CA,D,24/08/22,020000,8020.44394
CA,D,25/08/22,020000,8145.005535
CA,D,26/08/22,020000,8150.51711
CA,D,28/08/22,020000,8064.53654
CA,D,29/08/22,020000,7949.89578
CA,D,30/08/22,020000,7831.948075
CA,D,31/08/22,020000,7737.148985
CA,D,01/09/22,020000,7527.709135
CA,D,02/09/22,020000,7497.94663
CA,D,04/09/22,020000,7453.85403
CA,D,05/09/22,020000,7634.63369
CA,D,06/09/22,020000,7615.894335
CA,D,07/09/22,020000,7598.257295
CA,D,08/09/22,020000,7845.175855
CA,D,09/09/22,020000,7831.948075
CA,D,11/09/22,020000,7829.743445
CA,D,12/09/22,020000,7976.35134
CA,D,13/09/22,020000,7786.75316
CA,D,14/09/22,020000,7759.195285
CA,D,15/09/22,020000,7629.122115
CA,D,16/09/22,020000,7811.00409
CA,D,18/09/22,020000,7816.515665
CA,D,19/09/22,020000,7777.93464
CA,D,20/09/22,020000,7714.00037
CA,D,21/09/22,020000,7570.69942
CA,D,22/09/22,020000,7637.940635
CA,D,23/09/22,020000,7382.203555
CA,D,25/09/22,020000,7383.30587
CA,D,26/09/22,020000,7257.64196
CA,D,27/09/22,020000,7262.05122
CA,D,28/09/22,020000,7450.547085
CA,D,29/09/22,020000,7571.801735
CA,D,30/09/22,020000,7471.49107
CA,D,02/10/22,020000,7496.844315
CA,D,03/10/22,020000,7529.913765
CA,D,04/10/22,020000,7700.77259
CA,D,05/10/22,020000,7809.901775
CA,D,06/10/22,020000,7577.31331
CA,D,07/10/22,020000,7458.26329
CA,D,09/10/22,020000,7440.62625
CA,D,10/10/22,020000,7576.210995
CA,D,11/10/22,020000,7549.755435
CA,D,12/10/22,020000,7560.778585
CA,D,13/10/22,020000,7639.04295
CA,D,14/10/22,020000,7507.867465
CA,D,16/10/22,020000,7538.732285
CA,D,17/10/22,020000,7510.072095
CA,D,18/10/22,020000,7407.5568
CA,D,19/10/22,020000,7316.064655
CA,D,20/10/22,020000,7484.71885
CA,D,21/10/22,020000,7673.214715
CA,D,23/10/22,020000,7657.782305
CA,D,24/10/22,020000,7568.49479
CA,D,25/10/22,020000,7491.33274
CA,D,26/10/22,020000,7797.77631
CA,D,27/10/22,020000,7765.809175
CA,D,28/10/22,020000,7572.90405
CA,D,29/10/22,020000,7566.29016
CA,D,31/10/22,030000,7459.365605
CA,D,01/11/22,030000,7644.554525
CA,D,02/11/22,030000,7566.29016
CA,D,03/11/22,030000,7542.03923
CA,D,04/11/22,030000,8152.72174
CA,D,06/11/22,030000,7973.044395
CA,D,07/11/22,030000,7926.747165
CA,D,08/11/22,030000,8085.480525
CA,D,09/11/22,030000,8098.708305
CA,D,10/11/22,030000,8312.557415
CA,D,11/11/22,030000,8677.42368
CA,D,13/11/22,030000,8677.42368
CA,D,14/11/22,030000,8445.93753
CA,D,15/11/22,030000,8421.6866
CA,D,16/11/22,030000,8288.306485
CA,D,17/11/22,030000,8121.85692
CA,D,18/11/22,030000,8016.03468
CA,D,20/11/22,030000,8039.183295
CA,D,21/11/22,030000,7901.39392
CA,D,22/11/22,030000,7995.090695
CA,D,23/11/22,030000,8040.28561
CA,D,24/11/22,030000,8024.8532
CA,D,25/11/22,030000,7981.862915
CA,D,27/11/22,030000,7869.426785
CA,D,28/11/22,030000,7922.337905
CA,D,29/11/22,030000,8029.26246
